date,open,close,high,low,volume,code
2009-01-05,5.086,5.178,5.178,5.008,936048.88,000002
2009-01-06,5.163,5.333,5.372,5.109,1216831.18,000002
2009-01-07,5.356,5.302,5.457,5.302,834829.31,000002
2009-01-08,5.217,5.333,5.41,5.163,837661.7,000002
2009-01-09,5.333,5.325,5.418,5.263,626815.66,000002
2009-01-12,5.271,5.263,5.356,5.202,774188.93,000002
2009-01-13,5.186,5.078,5.202,5.078,884121.03,000002
2009-01-14,5.078,5.325,5.333,5.062,989445.09,000002
2009-01-15,5.232,5.294,5.372,5.209,694561.23,000002
2009-01-16,5.294,5.348,5.495,5.287,1520497.81,000002
2009-01-19,5.402,5.426,5.603,5.348,1259467.42,000002
2009-01-20,5.41,5.348,5.441,5.287,623493.96,000002
2009-01-21,5.287,5.487,5.534,5.256,1314228.76,000002
2009-01-22,5.495,5.511,5.573,5.387,898010.29,000002
2009-01-23,5.487,5.441,5.526,5.402,582689.18,000002
2009-02-02,5.48,5.418,5.495,5.379,711886.19,000002
2009-02-03,5.418,5.48,5.487,5.217,3116740.75,000002
2009-02-04,5.48,5.611,5.611,5.41,2470502.62,000002
2009-02-05,5.611,5.611,5.812,5.549,2857704.61,000002
2009-02-06,5.634,6.044,6.067,5.634,3727206.4,000002
2009-02-09,6.114,6.106,6.206,5.951,3022880.15,000002
2009-02-10,6.106,6.291,6.392,5.967,2855232.44,000002
2009-02-11,6.16,6.183,6.376,6.098,2690517.86,000002
2009-02-12,6.191,6.276,6.291,5.967,2537986.24,000002
2009-02-13,6.276,6.608,6.647,6.229,3752906.32,000002
2009-02-16,6.647,6.577,6.685,6.392,2933577.95,000002
2009-02-17,6.562,6.245,6.562,6.237,2505929.64,000002
2009-02-18,6.106,5.866,6.183,5.858,2577583.99,000002
2009-02-19,5.889,5.967,6.036,5.797,1782526.02,000002
2009-02-20,5.943,5.982,6.028,5.828,1579612.19,000002
2009-02-23,6.067,6.26,6.322,6.067,2574796.89,000002
2009-02-24,6.175,6.052,6.562,6.028,2755019.74,000002
2009-02-25,6.013,5.851,6.013,5.627,2414624.18,000002
2009-02-26,5.781,5.557,5.943,5.41,1730813.68,000002
2009-02-27,5.503,5.526,5.596,5.379,1565351.55,000002
2009-03-02,5.526,5.727,5.843,5.449,1616732.34,000002
2009-03-03,5.603,5.735,5.928,5.549,1268131.87,000002
2009-03-04,5.797,6.106,6.16,5.797,2324192.92,000002
2009-03-05,6.183,6.129,6.338,6.028,1706554.06,000002
2009-03-06,6.028,6.245,6.361,5.99,2248808.76,000002
2009-03-09,6.299,6.098,6.546,6.013,1879955.52,000002
